"APELLIDO","NOMBRE","Apellido y Nombre Diputado","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"LOZANO"," Claudio Raúl","LOZANO Claudio Raúl","Bs. As. para Todos en Proyecto Sur","C.A.B.A.","NEGATIVO"
"LUNA DE MARCOS"," Ana Zulema","LUNA DE MARCOS Ana Zulema","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"LUSQUIÑOS"," Luis Bernardo","LUSQUIÑOS Luis Bernardo","Frente Justicia Unión y Libertad","San Luis","NEGATIVO"
"MACALUSE"," Eduardo Gabriel","MACALUSE Eduardo Gabriel","Solidaridad e Igualdad (SI)","Buenos Aires","NEGATIVO"
"MARCONATO"," Gustavo Angel","MARCONATO Gustavo Angel","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"MARINO"," Adriana del Cármen","MARINO Adriana del Cármen","Frente Producción y Trabajo","San Juan","NEGATIVO"
"MARTIARENA"," Mario Humberto","MARTIARENA Mario Humberto","Peronismo Jujeño","Jujuy","AFIRMATIVO"
"MARTIN"," María Elena","MARTIN María Elena","Partido Socialista","Santa Fe","NEGATIVO"
"MARTINEZ GARBINO"," Emilio Raúl","MARTINEZ GARBINO Emilio Raúl","Concertación Entrerriana","Entre Ríos","AUSENTE"
"MARTINEZ ODDONE"," Heriberto Agustín","MARTINEZ ODDONE Heriberto Agustín","Unión Cívica Radical","Córdoba","NEGATIVO"
"MERCHAN"," Paula Cecilia","MERCHAN Paula Cecilia","Encuentro Popular y Social","Córdoba","NEGATIVO"
"MERLO"," Mario Raúl","MERLO Mario Raúl","Frente Justicia Unión y Libertad","San Luis","NEGATIVO"
"MOISES"," MARIA CAROLINA","MOISES MARIA CAROLINA","Frente para la Victoria - PJ","Jujuy","AFIRMATIVO"
"MONTERO"," Laura Gisela","MONTERO Laura Gisela","Consenso Federal","Mendoza","NEGATIVO"
"MONTOYA"," Jorge Luciano","MONTOYA Jorge Luciano","Unión Peronista","Córdoba","AFIRMATIVO"
"MORAN"," Juan Carlos","MORAN Juan Carlos","Coalición Cívica - ARI - GEN - UPT","Buenos Aires","NEGATIVO"
"MORANDINI"," Norma Elena","MORANDINI Norma Elena","Memoria y Democracia","Córdoba","AUSENTE"
"MORANTE"," Antonio Arnaldo María","MORANTE Antonio Arnaldo María","Frente para la Victoria - PJ","Chaco","AFIRMATIVO"
"MOREJON"," Manuel Amor","MOREJON Manuel Amor","Trabajo y Dignidad","Chubut","ABSTENCION"
"MORENO"," Carlos Julio","MORENO Carlos Julio","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"MORGADO"," Claudio Marcelo","MORGADO Claudio Marcelo","Partido de la Concertación - FORJA","C.A.B.A.","AFIRMATIVO"
"MORINI"," Pedro Juan","MORINI Pedro Juan","Unión Cívica Radical","Santa Fe","NEGATIVO"
"MULLER"," Mabel Hilda","MULLER Mabel Hilda","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
